# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG+ solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(^2D) + NO -> N2O have actually three-body nature

reaction_list
------------------
# Rotational excitation
e + N2 -> e + N2*(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(^3P),field_table,C28 O2 Attachment
7.662999999999999812e-01 2.417999999999999864e-19
8.025999999999999801e-01 2.558000000000000178e-19
8.407000000000000028e-01 2.709999999999999928e-19
8.804999999999999494e-01 2.874000000000000076e-19
9.222000000000000197e-01 3.051000000000000174e-19
9.658999999999999808e-01 3.241999999999999774e-19
1.012000000000000011e+00 3.448999999999999905e-19
1.060000000000000053e+00 3.673000000000000119e-19
1.110000000000000098e+00 3.913999999999999935e-19
1.161999999999999922e+00 4.173999999999999900e-19
1.217000000000000082e+00 4.452999999999999532e-19
1.274999999999999911e+00 4.750999999999999795e-19
1.334999999999999964e+00 5.069999999999999793e-19
1.399000000000000021e+00 5.409999999999999524e-19
1.465000000000000080e+00 5.768999999999999887e-19
1.534000000000000030e+00 6.147999999999999950e-19
1.606999999999999984e+00 6.545999999999999681e-19
1.683000000000000052e+00 6.960999999999999976e-19
1.762999999999999901e+00 7.392999999999999873e-19
1.846000000000000085e+00 7.840000000000000268e-19
1.933999999999999941e+00 8.301000000000000165e-19
2.025999999999999801e+00 8.772999999999999464e-19
2.120999999999999996e+00 9.255999999999999128e-19
2.221999999999999975e+00 9.748000000000000053e-19
2.326999999999999957e+00 1.024999999999999939e-18
2.436999999999999833e+00 1.075000000000000058e-18
2.552999999999999936e+00 1.126000000000000017e-18
2.673999999999999932e+00 1.176999999999999977e-18
2.801000000000000156e+00 1.228999999999999970e-18
2.932999999999999829e+00 1.279999999999999930e-18
3.072000000000000064e+00 1.331000000000000082e-18
3.217999999999999972e+00 1.383000000000000075e-18
3.370000000000000107e+00 1.434000000000000035e-18
3.529999999999999805e+00 1.484999999999999995e-18
3.697000000000000064e+00 1.534999999999999921e-18
3.871999999999999886e+00 1.585000000000000040e-18
4.054999999999999716e+00 1.634999999999999967e-18
4.248000000000000220e+00 1.685000000000000086e-18
4.448999999999999844e+00 1.733999999999999979e-18
4.660000000000000142e+00 1.781999999999999839e-18
4.879999999999999893e+00 1.829999999999999892e-18
5.110999999999999766e+00 1.877000000000000104e-18
5.354000000000000092e+00 1.923999999999999931e-18
5.607000000000000206e+00 1.969999999999999918e-18
5.873000000000000220e+00 2.015999999999999904e-18
6.150999999999999801e+00 2.061000000000000050e-18
6.442000000000000171e+00 2.104999999999999970e-18
6.748000000000000220e+00 2.148000000000000049e-18
7.067000000000000171e+00 2.191000000000000128e-18
7.402000000000000135e+00 2.232999999999999982e-18
7.753000000000000114e+00 2.273999999999999995e-18
8.119999999999999218e+00 2.315000000000000008e-18
8.503999999999999559e+00 2.355000000000000180e-18
8.907000000000000028e+00 2.394000000000000127e-18
9.329000000000000625e+00 2.433000000000000073e-18
9.771000000000000796e+00 2.471000000000000179e-18
1.023000000000000043e+01 2.508000000000000059e-18
1.072000000000000064e+01 2.544999999999999939e-18
1.123000000000000043e+01 2.580999999999999979e-18
1.175999999999999979e+01 2.616000000000000178e-18
1.232000000000000028e+01 2.651999999999999832e-18
1.290000000000000036e+01 2.687000000000000031e-18
1.350999999999999979e+01 2.721000000000000004e-18
1.415000000000000036e+01 2.755999999999999818e-18
1.482000000000000028e+01 2.790000000000000176e-18
1.551999999999999957e+01 2.824000000000000150e-18
1.626000000000000156e+01 2.858000000000000123e-18
1.703000000000000114e+01 2.892000000000000096e-18
1.782999999999999829e+01 2.926999999999999910e-18
1.867999999999999972e+01 2.962000000000000109e-18
1.955999999999999872e+01 2.996999999999999922e-18
2.048999999999999844e+01 3.032999999999999962e-18
2.146000000000000085e+01 3.069999999999999842e-18
2.248000000000000043e+01 3.107999999999999948e-18
2.353999999999999915e+01 3.146000000000000054e-18
2.466000000000000014e+01 3.185999999999999841e-18
2.582999999999999829e+01 3.228000000000000080e-18
2.705000000000000071e+01 3.271000000000000159e-18
2.832999999999999829e+01 3.317000000000000146e-18
2.967000000000000171e+01 3.363999999999999973e-18
3.107999999999999829e+01 3.414999999999999932e-18
3.254999999999999716e+01 3.470000000000000025e-18
3.409000000000000341e+01 3.528000000000000024e-18
3.571000000000000085e+01 3.591999999999999838e-18
3.739999999999999858e+01 3.662000000000000236e-18
3.917000000000000171e+01 3.740000000000000129e-18
4.103000000000000114e+01 3.827999999999999969e-18
4.296999999999999886e+01 3.926999999999999981e-18
4.500999999999999801e+01 4.041999999999999755e-18
4.714000000000000057e+01 4.174999999999999740e-18
4.936999999999999744e+01 4.331000000000000297e-18
5.171000000000000085e+01 4.514000000000000016e-18
5.415999999999999659e+01 4.730999999999999709e-18
5.671999999999999886e+01 4.986999999999999734e-18
5.940999999999999659e+01 5.287999999999999904e-18
6.222999999999999687e+01 5.641999999999999715e-18
6.517000000000000171e+01 6.057000000000000203e-18
6.826000000000000512e+01 6.541000000000000093e-18
7.148999999999999488e+01 7.097000000000000062e-18
7.487999999999999545e+01 7.733000000000000375e-18
7.843000000000000682e+01 8.453999999999999851e-18
8.214000000000000057e+01 9.263000000000000708e-18
8.603000000000000114e+01 1.015999999999999986e-17
9.010999999999999943e+01 1.114999999999999999e-17
9.437999999999999545e+01 1.223000000000000041e-17
9.884999999999999432e+01 1.337999999999999968e-17
1.035000000000000000e+02 1.460999999999999853e-17
1.084000000000000057e+02 1.593000000000000075e-17
1.135999999999999943e+02 1.728999999999999967e-17
1.190000000000000000e+02 1.870999999999999982e-17
1.245999999999999943e+02 2.017999999999999893e-17
1.305000000000000000e+02 2.167999999999999865e-17
1.366999999999999886e+02 2.320999999999999899e-17
1.430999999999999943e+02 2.477999999999999911e-17
1.499000000000000057e+02 2.637000000000000066e-17
1.570000000000000000e+02 2.798000000000000057e-17
1.645000000000000000e+02 2.961000000000000191e-17
1.723000000000000114e+02 3.126000000000000160e-17
1.804000000000000057e+02 3.292999999999999965e-17
1.890000000000000000e+02 3.463000000000000139e-17
1.979000000000000057e+02 3.635000000000000148e-17
2.073000000000000114e+02 3.808999999999999993e-17
2.170999999999999943e+02 3.988000000000000042e-17
2.274000000000000057e+02 4.169999999999999844e-17
2.381999999999999886e+02 4.356999999999999850e-17
2.495000000000000000e+02 4.549999999999999979e-17
2.613000000000000114e+02 4.746999999999999778e-17
2.736000000000000227e+02 4.951000000000000233e-17
2.866000000000000227e+02 5.161000000000000194e-17
3.001999999999999886e+02 5.379000000000000113e-17
3.143999999999999773e+02 5.605000000000000605e-17
3.293000000000000114e+02 5.840999999999999658e-17
3.448999999999999773e+02 6.086000000000000434e-17
3.611999999999999886e+02 6.341000000000000387e-17
3.783000000000000114e+02 6.608000000000000584e-17
3.963000000000000114e+02 6.885999999999999875e-17
4.150000000000000000e+02 7.178000000000000478e-17
4.346999999999999886e+02 7.483000000000000011e-17
4.553000000000000114e+02 7.802999999999999541e-17
4.768999999999999773e+02 8.138000000000000300e-17
4.995000000000000000e+02 8.490999999999999577e-17
5.231000000000000227e+02 8.860999999999999920e-17
5.478999999999999773e+02 9.249000000000000012e-17
5.737999999999999545e+02 9.658999999999999525e-17
6.010000000000000000e+02 1.008999999999999977e-16
6.295000000000000000e+02 1.053999999999999969e-16
6.592999999999999545e+02 1.101999999999999960e-16
6.906000000000000227e+02 1.152000000000000033e-16
7.232999999999999545e+02 1.205000000000000105e-16
7.575000000000000000e+02 1.262000000000000095e-16
7.933999999999999773e+02 1.320999999999999920e-16
8.310000000000000000e+02 1.382999999999999990e-16
8.703999999999999773e+02 1.448999999999999978e-16
9.116000000000000227e+02 1.517999999999999965e-16
9.547999999999999545e+02 1.592000000000000034e-16
1.000000000000000000e+03 1.669000000000000102e-16
-----------------------


Inelastic power loss /N (eV m3/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 1.614999999999999929e-19
1.047000000000000014e-01 1.703999999999999994e-19
1.097000000000000058e-01 1.797999999999999985e-19
1.149000000000000021e-01 1.896999999999999902e-19
1.203000000000000042e-01 2.000999999999999984e-19
1.260000000000000009e-01 2.109999999999999991e-19
1.320000000000000062e-01 2.225000000000000198e-19
1.383000000000000063e-01 2.347999999999999948e-19
1.448000000000000120e-01 2.478999999999999963e-19
1.517000000000000015e-01 2.618999999999999796e-19
1.589000000000000135e-01 2.768999999999999961e-19
1.663999999999999924e-01 2.930000000000000009e-19
1.743000000000000105e-01 3.105000000000000041e-19
1.824999999999999956e-01 3.294000000000000056e-19
1.912000000000000088e-01 3.499000000000000121e-19
2.001999999999999891e-01 3.720999999999999787e-19
2.096999999999999975e-01 3.963000000000000117e-19
2.195999999999999897e-01 4.225000000000000148e-19
2.300000000000000100e-01 4.510999999999999532e-19
2.409000000000000030e-01 4.821000000000000193e-19
2.524000000000000132e-01 5.158999999999999858e-19
2.642999999999999794e-01 5.525999999999999523e-19
2.767999999999999905e-01 5.924000000000000217e-19
2.898999999999999910e-01 6.357000000000000147e-19
3.037000000000000255e-01 6.826000000000000310e-19
3.180999999999999939e-01 7.335999999999999907e-19
3.331000000000000072e-01 7.887999999999999936e-19
3.488999999999999879e-01 8.485999999999999566e-19
3.654000000000000026e-01 9.132999999999999859e-19
3.826999999999999846e-01 9.833999999999999056e-19
4.008999999999999786e-01 1.058999999999999912e-18
4.198999999999999955e-01 1.140999999999999938e-18
4.398000000000000242e-01 1.230000000000000003e-18
4.606000000000000094e-01 1.325000000000000076e-18
4.823999999999999955e-01 1.429000000000000061e-18
5.052999999999999714e-01 1.540000000000000087e-18
5.292000000000000037e-01 1.661000000000000060e-18
5.543000000000000149e-01 1.790000000000000105e-18
5.805000000000000160e-01 1.930000000000000130e-18
6.079999999999999849e-01 2.080999999999999943e-18
6.368000000000000327e-01 2.244000000000000154e-18
6.670000000000000373e-01 2.418000000000000153e-18
6.985999999999999988e-01 2.607000000000000072e-18
7.317000000000000171e-01 2.808999999999999844e-18
7.662999999999999812e-01 3.025999999999999922e-18
8.025999999999999801e-01 3.259999999999999987e-18
8.407000000000000028e-01 3.511000000000000038e-18
8.804999999999999494e-01 3.779999999999999916e-18
9.222000000000000197e-01 4.068999999999999688e-18
9.658999999999999808e-01 4.379000000000000349e-18
1.012000000000000011e+00 4.710000000000000360e-18
1.060000000000000053e+00 5.064999999999999627e-18
1.110000000000000098e+00 5.444999999999999916e-18
1.161999999999999922e+00 5.850999999999999912e-18
1.217000000000000082e+00 6.286000000000000294e-18
1.274999999999999911e+00 6.750999999999999746e-18
1.334999999999999964e+00 7.247000000000000034e-18
1.399000000000000021e+00 7.777999999999999751e-18
1.465000000000000080e+00 8.346000000000000118e-18
1.534000000000000030e+00 8.951999999999999821e-18
1.606999999999999984e+00 9.602000000000000214e-18
1.683000000000000052e+00 1.030000000000000066e-17
1.762999999999999901e+00 1.103999999999999980e-17
1.846000000000000085e+00 1.184000000000000017e-17
1.933999999999999941e+00 1.270000000000000022e-17
2.025999999999999801e+00 1.361999999999999994e-17
2.120999999999999996e+00 1.460999999999999853e-17
2.221999999999999975e+00 1.567000000000000059e-17
2.326999999999999957e+00 1.682000000000000140e-17
2.436999999999999833e+00 1.804999999999999871e-17
2.552999999999999936e+00 1.938000000000000011e-17
2.673999999999999932e+00 2.081999999999999861e-17
2.801000000000000156e+00 2.236000000000000120e-17
2.932999999999999829e+00 2.402999999999999925e-17
3.072000000000000064e+00 2.584000000000000117e-17
3.217999999999999972e+00 2.778999999999999773e-17
3.370000000000000107e+00 2.988999999999999734e-17
3.529999999999999805e+00 3.217000000000000061e-17
3.697000000000000064e+00 3.463000000000000139e-17
3.871999999999999886e+00 3.728999999999999802e-17
4.054999999999999716e+00 4.017000000000000119e-17
4.248000000000000220e+00 4.327999999999999773e-17
4.448999999999999844e+00 4.663999999999999834e-17
4.660000000000000142e+00 5.028999999999999972e-17
4.879999999999999893e+00 5.423000000000000187e-17
5.110999999999999766e+00 5.849000000000000231e-17
5.354000000000000092e+00 6.311000000000000392e-17
5.607000000000000206e+00 6.810999999999999889e-17
5.873000000000000220e+00 7.351999999999999706e-17
6.150999999999999801e+00 7.937999999999999516e-17
6.442000000000000171e+00 8.574000000000000137e-17
6.748000000000000220e+00 9.262000000000000174e-17
7.067000000000000171e+00 1.001000000000000020e-16
7.402000000000000135e+00 1.082000000000000005e-16
7.753000000000000114e+00 1.170000000000000030e-16
8.119999999999999218e+00 1.265000000000000094e-16
8.503999999999999559e+00 1.367999999999999993e-16
8.907000000000000028e+00 1.479999999999999890e-16
9.329000000000000625e+00 1.601999999999999950e-16
9.771000000000000796e+00 1.733999999999999925e-16
1.023000000000000043e+01 1.877999999999999899e-16
1.072000000000000064e+01 2.034000000000000116e-16
1.123000000000000043e+01 2.203999999999999920e-16
1.175999999999999979e+01 2.388999999999999968e-16
1.232000000000000028e+01 2.588999999999999767e-16
1.290000000000000036e+01 2.807000000000000055e-16
1.350999999999999979e+01 3.045000000000000175e-16
1.415000000000000036e+01 3.303000000000000128e-16
1.482000000000000028e+01 3.584000000000000158e-16
1.551999999999999957e+01 3.890000000000000101e-16
1.626000000000000156e+01 4.221999999999999875e-16
1.703000000000000114e+01 4.584999999999999562e-16
1.782999999999999829e+01 4.980000000000000064e-16
1.867999999999999972e+01 5.410000000000000148e-16
1.955999999999999872e+01 5.878000000000000062e-16
2.048999999999999844e+01 6.387000000000000049e-16
2.146000000000000085e+01 6.942000000000000193e-16
2.248000000000000043e+01 7.545999999999999753e-16
2.353999999999999915e+01 8.203000000000000370e-16
2.466000000000000014e+01 8.918000000000000156e-16
2.582999999999999829e+01 9.696000000000000176e-16
2.705000000000000071e+01 1.053999999999999969e-15
2.832999999999999829e+01 1.146999999999999903e-15
2.967000000000000171e+01 1.246999999999999950e-15
3.107999999999999829e+01 1.355999999999999946e-15
3.254999999999999716e+01 1.474999999999999908e-15
3.409000000000000341e+01 1.604000000000000032e-15
3.571000000000000085e+01 1.743999999999999940e-15
3.739999999999999858e+01 1.896000000000000043e-15
3.917000000000000171e+01 2.061000000000000161e-15
4.103000000000000114e+01 2.240999999999999930e-15
4.296999999999999886e+01 2.436000000000000140e-15
4.500999999999999801e+01 2.646999999999999822e-15
4.714000000000000057e+01 2.876000000000000190e-15
4.936999999999999744e+01 3.123999999999999881e-15
5.171000000000000085e+01 3.393999999999999930e-15
5.415999999999999659e+01 3.683999999999999909e-15
5.671999999999999886e+01 4.000000000000000311e-15
5.940999999999999659e+01 4.342999999999999771e-15
6.222999999999999687e+01 4.713999999999999686e-15
6.517000000000000171e+01 5.117000000000000120e-15
6.826000000000000512e+01 5.554999999999999743e-15
7.148999999999999488e+01 6.028000000000000132e-15
7.487999999999999545e+01 6.542000000000000201e-15
7.843000000000000682e+01 7.099000000000000378e-15
8.214000000000000057e+01 7.704000000000000545e-15
8.603000000000000114e+01 8.360000000000000161e-15
9.010999999999999943e+01 9.073000000000000505e-15
9.437999999999999545e+01 9.849000000000000493e-15
9.884999999999999432e+01 1.068999999999999976e-14
1.035000000000000000e+02 1.161000000000000051e-14
1.084000000000000057e+02 1.260999999999999941e-14
1.135999999999999943e+02 1.368999999999999960e-14
1.190000000000000000e+02 1.487000000000000063e-14
1.245999999999999943e+02 1.616000000000000069e-14
1.305000000000000000e+02 1.754999999999999843e-14
1.366999999999999886e+02 1.905999999999999969e-14
1.430999999999999943e+02 2.069999999999999952e-14
1.499000000000000057e+02 2.249000000000000060e-14
1.570000000000000000e+02 2.442999999999999978e-14
1.645000000000000000e+02 2.653000000000000156e-14
1.723000000000000114e+02 2.880999999999999917e-14
1.804000000000000057e+02 3.127000000000000206e-14
1.890000000000000000e+02 3.393999999999999851e-14
1.979000000000000057e+02 3.682999999999999932e-14
2.073000000000000114e+02 3.993999999999999819e-14
2.170999999999999943e+02 4.331999999999999868e-14
2.274000000000000057e+02 4.696000000000000261e-14
2.381999999999999886e+02 5.088999999999999823e-14
2.495000000000000000e+02 5.513000000000000086e-14
2.613000000000000114e+02 5.968999999999999608e-14
2.736000000000000227e+02 6.461000000000000187e-14
2.866000000000000227e+02 6.989999999999999750e-14
3.001999999999999886e+02 7.558000000000000460e-14
3.143999999999999773e+02 8.169000000000000331e-14
3.293000000000000114e+02 8.825999999999999450e-14
3.448999999999999773e+02 9.529999999999999530e-14
3.611999999999999886e+02 1.028999999999999957e-13
3.783000000000000114e+02 1.108999999999999995e-13
3.963000000000000114e+02 1.195999999999999902e-13
4.150000000000000000e+02 1.289000000000000112e-13
4.346999999999999886e+02 1.387000000000000047e-13
4.553000000000000114e+02 1.493000000000000050e-13
4.768999999999999773e+02 1.605999999999999922e-13
4.995000000000000000e+02 1.725999999999999916e-13
5.231000000000000227e+02 1.853999999999999976e-13
5.478999999999999773e+02 1.990000000000000103e-13
5.737999999999999545e+02 2.134999999999999990e-13
6.010000000000000000e+02 2.287999999999999944e-13
6.295000000000000000e+02 2.450999999999999856e-13
6.592999999999999545e+02 2.624000000000000229e-13
6.906000000000000227e+02 2.807000000000000055e-13
7.232999999999999545e+02 2.999999999999999839e-13
7.575000000000000000e+02 3.204999999999999975e-13
7.933999999999999773e+02 3.420999999999999761e-13
8.310000000000000000e+02 3.648999999999999901e-13
8.703999999999999773e+02 3.888999999999999888e-13
9.116000000000000227e+02 4.141999999999999920e-13
9.547999999999999545e+02 4.407999999999999999e-13
1.000000000000000000e+03 4.687999999999999815e-13
-----------------------


Townsend attach. coef. eta/N (m2)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 1.241000000000000034e-40
1.047000000000000014e-01 1.238999999999999970e-40
1.097000000000000058e-01 1.235000000000000047e-40
1.149000000000000021e-01 1.229000000000000061e-40
1.203000000000000042e-01 1.221000000000000011e-40
1.260000000000000009e-01 1.210000000000000069e-40
1.320000000000000062e-01 1.196000000000000033e-40
1.383000000000000063e-01 1.179999999999999933e-40
1.448000000000000120e-01 1.161999999999999973e-40
1.517000000000000015e-01 1.140999999999999919e-40
1.589000000000000135e-01 1.119000000000000036e-40
1.663999999999999924e-01 1.094000000000000058e-40
1.743000000000000105e-01 1.068000000000000048e-40
1.824999999999999956e-01 1.039999999999999975e-40
1.912000000000000088e-01 1.011000000000000075e-40
2.001999999999999891e-01 9.818000000000000042e-41
2.096999999999999975e-01 9.513999999999999365e-41
2.195999999999999897e-01 9.204999999999999549e-41
2.300000000000000100e-01 8.894000000000000077e-41
2.409000000000000030e-01 8.581999999999999759e-41
2.524000000000000132e-01 8.271000000000000287e-41
2.642999999999999794e-01 7.963000000000000299e-41
2.767999999999999905e-01 7.657999999999999795e-41
2.898999999999999910e-01 7.358000000000000468e-41
3.037000000000000255e-01 7.064000000000000109e-41
3.180999999999999939e-01 6.775999999999999736e-41
3.331000000000000072e-01 6.495000000000000197e-41
3.488999999999999879e-01 6.222000000000000301e-41
3.654000000000000026e-01 5.957000000000000046e-41
3.826999999999999846e-01 5.698999999999999606e-41
4.008999999999999786e-01 5.449999999999999655e-41
4.198999999999999955e-01 5.210000000000000194e-41
4.398000000000000242e-01 4.976999999999999528e-41
4.606000000000000094e-01 4.753000000000000371e-41
4.823999999999999955e-01 4.536999999999999837e-41
5.052999999999999714e-01 4.328999999999999964e-41
5.292000000000000037e-01 4.129000000000000243e-41
5.543000000000000149e-01 3.935999999999999827e-41
5.805000000000000160e-01 3.751000000000000072e-41
6.079999999999999849e-01 3.573999999999999960e-41
6.368000000000000327e-01 3.404000000000000172e-41
6.670000000000000373e-01 3.239999999999999861e-41
6.985999999999999988e-01 3.084000000000000211e-41
7.317000000000000171e-01 2.933000000000000210e-41
7.662999999999999812e-01 2.789999999999999852e-41
8.025999999999999801e-01 2.652000000000000162e-41
8.407000000000000028e-01 2.519999999999999948e-41
8.804999999999999494e-01 2.392999999999999894e-41
9.222000000000000197e-01 2.272999999999999908e-41
9.658999999999999808e-01 2.156999999999999999e-41
1.012000000000000011e+00 2.045999999999999993e-41
1.060000000000000053e+00 1.940999999999999974e-41
1.110000000000000098e+00 1.840000000000000031e-41
1.161999999999999922e+00 1.742999999999999909e-41
1.217000000000000082e+00 1.650999999999999946e-41
1.274999999999999911e+00 1.563000000000000058e-41
1.334999999999999964e+00 1.478999999999999992e-41
1.399000000000000021e+00 1.399000000000000002e-41
1.465000000000000080e+00 1.323000000000000088e-41
1.534000000000000030e+00 1.250999999999999994e-41
1.606999999999999984e+00 1.181999999999999894e-41
1.683000000000000052e+00 1.116999999999999998e-41
1.762999999999999901e+00 1.054999999999999967e-41
1.846000000000000085e+00 9.955999999999999732e-42
1.933999999999999941e+00 9.397999999999999710e-42
2.025999999999999801e+00 8.869999999999999622e-42
2.120999999999999996e+00 8.370000000000000320e-42
2.221999999999999975e+00 7.898000000000000530e-42
2.326999999999999957e+00 7.451999999999999832e-42
2.436999999999999833e+00 7.031999999999999501e-42
2.552999999999999936e+00 6.636000000000000390e-42
2.673999999999999932e+00 6.263000000000000379e-42
2.801000000000000156e+00 5.911999999999999892e-42
2.932999999999999829e+00 5.581999999999999996e-42
3.072000000000000064e+00 5.271000000000000270e-42
3.217999999999999972e+00 4.980000000000000286e-42
3.370000000000000107e+00 4.706000000000000052e-42
3.529999999999999805e+00 4.449000000000000204e-42
3.697000000000000064e+00 4.206999999999999686e-42
3.871999999999999886e+00 3.979999999999999771e-42
4.054999999999999716e+00 3.767999999999999822e-42
4.248000000000000220e+00 3.567999999999999846e-42
4.448999999999999844e+00 3.379999999999999844e-42
4.660000000000000142e+00 3.203999999999999814e-42
4.879999999999999893e+00 3.039000000000000185e-42
5.110999999999999766e+00 2.884000000000000108e-42
5.354000000000000092e+00 2.738000000000000011e-42
5.607000000000000206e+00 2.600999999999999894e-42
5.873000000000000220e+00 2.471999999999999865e-42
6.150999999999999801e+00 2.350000000000000033e-42
6.442000000000000171e+00 2.235999999999999970e-42
6.748000000000000220e+00 2.127999999999999894e-42
7.067000000000000171e+00 2.027000000000000015e-42
7.402000000000000135e+00 1.930999999999999912e-42
7.753000000000000114e+00 1.839999999999999904e-42
8.119999999999999218e+00 1.754999999999999882e-42
8.503999999999999559e+00 1.674000000000000064e-42
8.907000000000000028e+00 1.598000000000000022e-42
9.329000000000000625e+00 1.524999999999999974e-42
9.771000000000000796e+00 1.457000000000000020e-42
1.023000000000000043e+01 1.391000000000000009e-42
1.072000000000000064e+01 1.329999999999999934e-42
1.123000000000000043e+01 1.270999999999999960e-42
1.175999999999999979e+01 1.214999999999999980e-42
1.232000000000000028e+01 1.161999999999999992e-42
1.290000000000000036e+01 1.111999999999999999e-42
1.350999999999999979e+01 1.063999999999999947e-42
1.415000000000000036e+01 1.017999999999999997e-42
1.482000000000000028e+01 4.481000000000000016e-32
1.551999999999999957e+01 2.170000000000000128e-31
1.626000000000000156e+01 4.160999999999999779e-31
1.703000000000000114e+01 1.085000000000000020e-30
1.782999999999999829e+01 2.661999999999999858e-30
1.867999999999999972e+01 6.307000000000000021e-30
1.955999999999999872e+01 1.433999999999999951e-29
2.048999999999999844e+01 3.185999999999999873e-29
2.146000000000000085e+01 6.704000000000000110e-29
2.248000000000000043e+01 1.362000000000000057e-28
2.353999999999999915e+01 2.675000000000000139e-28
2.466000000000000014e+01 5.156000000000000318e-28
2.582999999999999829e+01 9.492999999999999754e-28
2.705000000000000071e+01 1.698000000000000085e-27
2.832999999999999829e+01 2.952000000000000022e-27
2.967000000000000171e+01 4.999000000000000310e-27
3.107999999999999829e+01 8.251999999999999365e-27
3.254999999999999716e+01 1.336000000000000120e-26
3.409000000000000341e+01 2.102000000000000133e-26
3.571000000000000085e+01 3.235000000000000024e-26
3.739999999999999858e+01 4.874999999999999972e-26
3.917000000000000171e+01 7.200000000000000277e-26
4.103000000000000114e+01 1.047000000000000020e-25
4.296999999999999886e+01 1.487999999999999920e-25
4.500999999999999801e+01 2.078000000000000086e-25
4.714000000000000057e+01 2.853000000000000187e-25
4.936999999999999744e+01 3.854000000000000108e-25
5.171000000000000085e+01 5.125000000000000183e-25
